Age_Group,Gender,Account Type,Balance_Bucket,Transaction_Size,Transaction Type,Loan_Size,Loan Type,Loan Status,Rate_Category,Card Type,CC_Utilization_Category,Feedback Type,Resolution Status
Young Adult,Female,Current,Comfortable,Very Large,Withdrawal,Medium,Mortgage,Approved,High,AMEX,Over-Limit,Praise,Resolved
Pre-Retirement,Other,Current,Mass-Market,Large,Withdrawal,Large,Mortgage,Rejected,Low,MasterCard,Over-Limit,Suggestion,Resolved
Senior,Male,Savings,Mass-Market,Very Large,Transfer,Large,Auto,Rejected,Moderate,Visa,Moderate,Suggestion,Pending
Young Adult,Female,Savings,Comfortable,Large,Withdrawal,Large,Personal,Closed,Low,MasterCard,Low,Complaint,Resolved
Pre-Retirement,Other,Savings,Comfortable,Very Large,Withdrawal,Large,Auto,Approved,High,AMEX,Low,Complaint,Resolved
Pre-Retirement,Other,Current,Comfortable,Large,Withdrawal,Large,Personal,Approved,Low,AMEX,Over-Limit,Praise,Resolved
Pre-Retirement,Other,Current,Comfortable,Very Large,Deposit,Very Large,Auto,Approved,Low,MasterCard,Low,Praise,Resolved
Pre-Retirement,Other,Current,Comfortable,Very Large,Deposit,Medium,Auto,Approved,Moderate,MasterCard,Over-Limit,Suggestion,Resolved
Established,Male,Savings,Mass-Market,Very Large,Withdrawal,Medium,Mortgage,Rejected,Low,MasterCard,Low,Complaint,Pending
Pre-Retirement,Other,Savings,Comfortable,Large,Transfer,Very Large,Personal,Rejected,Moderate,MasterCard,High,Praise,Resolved
Senior,Female,Current,Below-Minimum,Very Large,Withdrawal,Large,Auto,Closed,High,AMEX,Moderate,Suggestion,Pending
Pre-Retirement,Male,Savings,Mass-Market,Very Large,Transfer,Large,Auto,Rejected,Moderate,MasterCard,Moderate,Suggestion,Pending
Established,Other,Current,Mass-Market,Very Large,Transfer,Very Large,Personal,Rejected,High,MasterCard,Moderate,Suggestion,Resolved
Young Adult,Female,Savings,Below-Minimum,Everyday,Withdrawal,Large,Auto,Approved,High,MasterCard,Moderate,Suggestion,Pending
Early Career,Female,Current,Mass-Market,Very Large,Transfer,Medium,Personal,Approved,Low,MasterCard,Moderate,Suggestion,Pending
Pre-Retirement,Male,Current,Comfortable,Large,Transfer,Very Large,Auto,Rejected,Low,MasterCard,Low,Complaint,Resolved
Early Career,Male,Current,Comfortable,Large,Transfer,Medium,Mortgage,Closed,High,AMEX,Over-Limit,Complaint,Resolved
Established,Male,Savings,Comfortable,Large,Withdrawal,Small,Mortgage,Closed,High,MasterCard,Moderate,Complaint,Resolved
Pre-Retirement,Female,Savings,Comfortable,Very Large,Transfer,Medium,Auto,Closed,High,AMEX,High,Suggestion,Pending
Senior,Female,Current,Mass-Market,Large,Withdrawal,Very Large,Mortgage,Closed,Low,AMEX,Moderate,Praise,Resolved
Early Career,Other,Savings,Comfortable,Large,Deposit,Medium,Auto,Approved,Low,Visa,Over-Limit,Praise,Pending
Established,Male,Savings,Mass-Market,Very Large,Withdrawal,Very Large,Mortgage,Approved,Moderate,Visa,Over-Limit,Suggestion,Resolved
Young Adult,Male,Current,Mass-Market,Large,Deposit,Medium,Mortgage,Closed,Low,AMEX,Moderate,Complaint,Pending
Established,Male,Savings,Comfortable,Very Large,Deposit,Very Large,Personal,Closed,Low,AMEX,High,Praise,Pending
Established,Male,Savings,Mass-Market,Everyday,Withdrawal,Large,Personal,Rejected,High,AMEX,High,Suggestion,Pending
Pre-Retirement,Female,Savings,Comfortable,Large,Deposit,Large,Mortgage,Approved,Moderate,MasterCard,Over-Limit,Suggestion,Pending
Young Adult,Male,Savings,Comfortable,Large,Withdrawal,Medium,Auto,Rejected,Low,AMEX,Moderate,Complaint,Resolved
Established,Female,Current,Mass-Market,Everyday,Withdrawal,Medium,Auto,Closed,Moderate,Visa,Moderate,Praise,Resolved
Early Career,Female,Savings,Comfortable,Very Large,Transfer,Small,Personal,Closed,Low,AMEX,Moderate,Suggestion,Resolved
Established,Male,Savings,Comfortable,Large,Deposit,Very Large,Personal,Rejected,Low,AMEX,Moderate,Suggestion,Pending
Established,Female,Savings,Comfortable,Very Large,Withdrawal,Very Large,Mortgage,Rejected,Low,Visa,Over-Limit,Complaint,Pending
Established,Female,Current,Mass-Market,Large,Withdrawal,Medium,Auto,Rejected,Moderate,MasterCard,High,Complaint,Pending
Pre-Retirement,Male,Current,Comfortable,Very Large,Deposit,Very Large,Auto,Closed,Moderate,AMEX,Moderate,Suggestion,Pending
Young Adult,Male,Current,Mass-Market,Everyday,Deposit,Very Large,Mortgage,Approved,Low,Visa,Moderate,Complaint,Pending
Pre-Retirement,Other,Savings,Comfortable,Large,Deposit,Medium,Personal,Closed,Low,MasterCard,Over-Limit,Complaint,Resolved
Established,Female,Current,Mass-Market,Very Large,Deposit,Very Large,Auto,Rejected,Moderate,MasterCard,Moderate,Suggestion,Pending
Early Career,Female,Savings,Comfortable,Very Large,Withdrawal,Medium,Mortgage,Closed,High,Visa,Moderate,Complaint,Pending
Senior,Other,Current,Mass-Market,Very Large,Deposit,Large,Mortgage,Rejected,High,Visa,High,Praise,Resolved
Senior,Other,Current,Comfortable,Large,Withdrawal,Large,Auto,Closed,Low,AMEX,Low,Complaint,Resolved
Established,Male,Savings,Comfortable,Large,Deposit,Large,Mortgage,Approved,High,Visa,Moderate,Suggestion,Pending
Young Adult,Other,Current,Mass-Market,Very Large,Transfer,Medium,Mortgage,Approved,Low,Visa,Low,Complaint,Pending
Pre-Retirement,Male,Current,Mass-Market,Very Large,Deposit,Small,Personal,Rejected,Low,MasterCard,Low,Complaint,Resolved
Pre-Retirement,Male,Current,Mass-Market,Large,Deposit,Large,Personal,Approved,Moderate,Visa,Low,Complaint,Resolved
Established,Male,Current,Mass-Market,Large,Withdrawal,Very Large,Personal,Closed,Moderate,MasterCard,Moderate,Suggestion,Pending
Pre-Retirement,Female,Current,Comfortable,Everyday,Withdrawal,Large,Personal,Rejected,Moderate,AMEX,Over-Limit,Suggestion,Pending
Early Career,Female,Savings,Comfortable,Large,Transfer,Large,Auto,Approved,Low,Visa,High,Suggestion,Pending
Established,Male,Savings,Below-Minimum,Everyday,Transfer,Medium,Personal,Rejected,High,Visa,Low,Complaint,Pending
Established,Other,Current,Comfortable,Everyday,Deposit,Large,Auto,Rejected,Low,AMEX,Over-Limit,Suggestion,Pending
Young Adult,Female,Savings,Mass-Market,Very Large,Withdrawal,Large,Auto,Closed,Low,Visa,Low,Complaint,Resolved
Established,Female,Savings,Comfortable,Large,Deposit,Large,Auto,Closed,Moderate,Visa,Moderate,Complaint,Resolved
Established,Other,Current,Comfortable,Very Large,Withdrawal,Very Large,Auto,Rejected,High,Visa,Moderate,Suggestion,Resolved
Early Career,Female,Current,Comfortable,Very Large,Withdrawal,Very Large,Auto,Rejected,High,Visa,Low,Complaint,Pending
Established,Other,Savings,Comfortable,Large,Withdrawal,Very Large,Personal,Rejected,Low,Visa,Moderate,Complaint,Resolved
Pre-Retirement,Other,Current,Comfortable,Very Large,Withdrawal,Medium,Auto,Rejected,Low,Visa,Over-Limit,Praise,Resolved
Early Career,Female,Savings,Comfortable,Very Large,Transfer,Medium,Auto,Approved,Moderate,MasterCard,Low,Complaint,Pending
Pre-Retirement,Other,Savings,Comfortable,Large,Withdrawal,Medium,Mortgage,Closed,High,Visa,Moderate,Suggestion,Pending
Established,Other,Current,Comfortable,Large,Transfer,Very Large,Personal,Closed,Moderate,Visa,Moderate,Suggestion,Pending
Early Career,Male,Current,Below-Minimum,Large,Transfer,Very Large,Mortgage,Rejected,Low,AMEX,Low,Suggestion,Pending
Young Adult,Male,Savings,Comfortable,Large,Deposit,Medium,Personal,Approved,Low,Visa,Moderate,Suggestion,Pending
Established,Female,Savings,Below-Minimum,Large,Deposit,Medium,Personal,Rejected,Low,AMEX,Moderate,Suggestion,Pending
Young Adult,Other,Current,Comfortable,Very Large,Transfer,Very Large,Auto,Closed,High,AMEX,High,Suggestion,Pending
Senior,Female,Current,Comfortable,Very Large,Transfer,Medium,Mortgage,Approved,Moderate,AMEX,Moderate,Suggestion,Pending
Senior,Female,Current,Comfortable,Very Large,Transfer,Medium,Mortgage,Approved,High,AMEX,Low,Complaint,Pending
Young Adult,Male,Current,Comfortable,Very Large,Withdrawal,Medium,Auto,Rejected,Low,MasterCard,Low,Suggestion,Pending
Established,Other,Current,Mass-Market,Very Large,Withdrawal,Very Large,Mortgage,Closed,High,MasterCard,Moderate,Suggestion,Resolved
Early Career,Female,Current,Mass-Market,Large,Transfer,Medium,Personal,Approved,Low,Visa,Moderate,Complaint,Pending
Young Adult,Female,Savings,Below-Minimum,Everyday,Transfer,Medium,Personal,Approved,High,AMEX,Low,Suggestion,Pending
Pre-Retirement,Male,Savings,Mass-Market,Very Large,Transfer,Large,Personal,Closed,High,MasterCard,Low,Suggestion,Resolved
Senior,Male,Current,Comfortable,Large,Deposit,Large,Personal,Approved,Low,MasterCard,Low,Suggestion,Pending
Early Career,Male,Savings,Comfortable,Everyday,Deposit,Large,Auto,Approved,Low,MasterCard,Moderate,Suggestion,Pending
Pre-Retirement,Female,Savings,Comfortable,Everyday,Withdrawal,Very Large,Auto,Rejected,Low,Visa,Over-Limit,Praise,Pending
Established,Other,Savings,Comfortable,Very Large,Withdrawal,Very Large,Auto,Approved,High,Visa,Low,Praise,Pending
Established,Male,Savings,Mass-Market,Very Large,Deposit,Large,Mortgage,Approved,Low,MasterCard,Over-Limit,Suggestion,Pending
Young Adult,Male,Savings,Mass-Market,Very Large,Withdrawal,Medium,Mortgage,Closed,Low,Visa,Moderate,Suggestion,Pending
Pre-Retirement,Other,Savings,Mass-Market,Very Large,Withdrawal,Large,Mortgage,Closed,High,AMEX,High,Complaint,Pending
Established,Female,Savings,Mass-Market,Large,Transfer,Medium,Mortgage,Closed,High,Visa,Moderate,Suggestion,Resolved
Senior,Female,Savings,Mass-Market,Everyday,Transfer,Large,Auto,Approved,High,AMEX,High,Complaint,Pending
Established,Other,Current,Mass-Market,Large,Deposit,Medium,Mortgage,Approved,High,Visa,Moderate,Complaint,Resolved
Pre-Retirement,Male,Current,Below-Minimum,Large,Transfer,Large,Mortgage,Rejected,Moderate,AMEX,Low,Praise,Resolved
Established,Other,Current,Comfortable,Large,Withdrawal,Very Large,Mortgage,Closed,High,Visa,Moderate,Praise,Resolved
Senior,Female,Current,Mass-Market,Very Large,Transfer,Medium,Personal,Rejected,Moderate,Visa,Low,Suggestion,Pending
Pre-Retirement,Female,Savings,Mass-Market,Very Large,Withdrawal,Large,Auto,Closed,Moderate,AMEX,Over-Limit,Suggestion,Resolved
Senior,Male,Current,Below-Minimum,Everyday,Deposit,Large,Auto,Closed,Low,AMEX,Moderate,Suggestion,Resolved
Established,Male,Current,Mass-Market,Large,Transfer,Very Large,Auto,Rejected,High,AMEX,Moderate,Complaint,Resolved
Pre-Retirement,Other,Savings,Comfortable,Very Large,Deposit,Large,Personal,Closed,High,MasterCard,Low,Complaint,Pending
Pre-Retirement,Female,Current,Comfortable,Large,Transfer,Medium,Auto,Closed,Low,Visa,Low,Praise,Pending
Young Adult,Female,Current,Mass-Market,Very Large,Transfer,Very Large,Auto,Closed,Low,Visa,Low,Praise,Pending
Pre-Retirement,Other,Savings,Below-Minimum,Large,Transfer,Large,Auto,Approved,High,MasterCard,High,Complaint,Resolved
Established,Male,Current,Comfortable,Large,Deposit,Large,Mortgage,Closed,Low,Visa,Over-Limit,Suggestion,Pending
Early Career,Female,Current,Mass-Market,Large,Transfer,Very Large,Mortgage,Approved,Moderate,AMEX,Moderate,Praise,Pending
Early Career,Female,Savings,Mass-Market,Large,Withdrawal,Very Large,Auto,Closed,Moderate,AMEX,Moderate,Complaint,Pending
Early Career,Male,Savings,Comfortable,Very Large,Transfer,Large,Personal,Closed,Low,MasterCard,Moderate,Complaint,Pending
Young Adult,Female,Current,Below-Minimum,Very Large,Transfer,Medium,Mortgage,Approved,High,Visa,Moderate,Complaint,Resolved
Young Adult,Male,Current,Mass-Market,Very Large,Withdrawal,Very Large,Personal,Rejected,High,Visa,Moderate,Complaint,Pending
Early Career,Other,Current,Below-Minimum,Very Large,Deposit,Large,Personal,Approved,High,MasterCard,Low,Suggestion,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Large,Deposit,Medium,Personal,Approved,Low,AMEX,Low,Complaint,Resolved
Established,Male,Current,Mass-Market,Everyday,Withdrawal,Medium,Auto,Approved,Low,AMEX,Low,Suggestion,Resolved
Established,Other,Current,Mass-Market,Very Large,Transfer,Very Large,Mortgage,Approved,Moderate,Visa,Moderate,Praise,Resolved
Young Adult,Female,Current,Comfortable,Very Large,Withdrawal,Very Large,Auto,Rejected,High,AMEX,Moderate,Complaint,Resolved
Established,Female,Current,Below-Minimum,Everyday,Withdrawal,Very Large,Auto,Approved,Low,Visa,Over-Limit,Complaint,Pending
Pre-Retirement,Male,Savings,Below-Minimum,Everyday,Transfer,Medium,Mortgage,Rejected,Low,AMEX,High,Suggestion,Pending
Pre-Retirement,Male,Savings,Comfortable,Large,Withdrawal,Medium,Personal,Closed,Moderate,AMEX,Low,Suggestion,Pending
Early Career,Other,Current,Comfortable,Very Large,Deposit,Medium,Auto,Approved,Moderate,Visa,Over-Limit,Complaint,Pending
Young Adult,Other,Current,Mass-Market,Large,Deposit,Very Large,Personal,Closed,Moderate,Visa,High,Suggestion,Resolved
Young Adult,Female,Savings,Comfortable,Very Large,Deposit,Medium,Personal,Closed,Moderate,AMEX,Low,Suggestion,Resolved
Pre-Retirement,Female,Savings,Comfortable,Very Large,Withdrawal,Large,Personal,Rejected,High,Visa,Over-Limit,Suggestion,Resolved
Established,Other,Savings,Comfortable,Very Large,Transfer,Large,Mortgage,Closed,Moderate,AMEX,Moderate,Complaint,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Large,Deposit,Large,Personal,Approved,Moderate,Visa,Moderate,Complaint,Pending
Established,Other,Current,Below-Minimum,Very Large,Transfer,Large,Mortgage,Rejected,High,MasterCard,High,Suggestion,Pending
Early Career,Female,Savings,Comfortable,Very Large,Transfer,Large,Mortgage,Approved,Low,Visa,High,Praise,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Large,Deposit,Medium,Auto,Closed,High,AMEX,Moderate,Complaint,Pending
Established,Other,Current,Comfortable,Large,Withdrawal,Very Large,Personal,Closed,Moderate,AMEX,Moderate,Praise,Pending
Early Career,Female,Current,Mass-Market,Large,Deposit,Medium,Auto,Approved,Low,AMEX,High,Complaint,Resolved
Early Career,Male,Current,Comfortable,Everyday,Withdrawal,Small,Auto,Closed,Moderate,MasterCard,Over-Limit,Suggestion,Resolved
Established,Male,Current,Mass-Market,Very Large,Transfer,Medium,Mortgage,Approved,Low,AMEX,High,Praise,Pending
Pre-Retirement,Male,Current,Mass-Market,Very Large,Deposit,Medium,Auto,Closed,Low,Visa,Low,Suggestion,Pending
Senior,Male,Current,Comfortable,Everyday,Deposit,Large,Personal,Approved,Low,Visa,High,Suggestion,Pending
Senior,Male,Current,Comfortable,Very Large,Withdrawal,Very Large,Personal,Closed,Moderate,AMEX,Low,Praise,Pending
Established,Other,Savings,Mass-Market,Everyday,Withdrawal,Large,Mortgage,Rejected,High,Visa,Moderate,Suggestion,Resolved
Established,Male,Savings,Mass-Market,Large,Transfer,Large,Personal,Rejected,High,AMEX,Low,Praise,Resolved
Established,Other,Current,Below-Minimum,Everyday,Deposit,Medium,Mortgage,Closed,Moderate,MasterCard,Moderate,Praise,Pending
Senior,Male,Savings,Mass-Market,Very Large,Deposit,Very Large,Mortgage,Approved,High,AMEX,Low,Complaint,Pending
Pre-Retirement,Female,Savings,Mass-Market,Everyday,Deposit,Very Large,Mortgage,Approved,High,MasterCard,High,Suggestion,Resolved
Senior,Male,Current,Comfortable,Large,Withdrawal,Very Large,Personal,Approved,Moderate,AMEX,High,Complaint,Pending
Pre-Retirement,Other,Savings,Comfortable,Very Large,Withdrawal,Medium,Auto,Approved,Moderate,MasterCard,Moderate,Praise,Pending
Established,Female,Savings,Comfortable,Very Large,Deposit,Large,Mortgage,Closed,Low,MasterCard,Moderate,Complaint,Pending
Early Career,Female,Savings,Comfortable,Large,Withdrawal,Large,Mortgage,Closed,Low,MasterCard,Over-Limit,Complaint,Resolved
Pre-Retirement,Other,Savings,Comfortable,Very Large,Transfer,Large,Auto,Rejected,Moderate,Visa,Over-Limit,Suggestion,Resolved
Early Career,Female,Current,Comfortable,Very Large,Deposit,Small,Mortgage,Closed,Low,Visa,Moderate,Suggestion,Pending
Pre-Retirement,Other,Savings,Comfortable,Large,Deposit,Medium,Auto,Rejected,High,Visa,Low,Praise,Pending
Early Career,Male,Savings,Mass-Market,Very Large,Transfer,Very Large,Mortgage,Closed,High,MasterCard,Over-Limit,Complaint,Pending
Early Career,Male,Current,Comfortable,Large,Deposit,Large,Auto,Closed,Low,Visa,Low,Complaint,Resolved
Pre-Retirement,Other,Savings,Comfortable,Very Large,Deposit,Small,Mortgage,Closed,Low,Visa,Moderate,Praise,Resolved
Young Adult,Male,Current,Below-Minimum,Very Large,Deposit,Very Large,Mortgage,Rejected,Moderate,Visa,Low,Suggestion,Pending
Senior,Female,Savings,Mass-Market,Large,Deposit,Medium,Mortgage,Rejected,High,Visa,Low,Complaint,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Everyday,Withdrawal,Very Large,Mortgage,Closed,High,AMEX,Low,Suggestion,Resolved
Early Career,Male,Current,Below-Minimum,Very Large,Transfer,Large,Personal,Closed,Low,MasterCard,Moderate,Praise,Pending
Senior,Female,Current,Mass-Market,Large,Deposit,Small,Personal,Approved,High,AMEX,Over-Limit,Complaint,Pending
Established,Female,Current,Comfortable,Large,Withdrawal,Large,Mortgage,Rejected,High,MasterCard,High,Suggestion,Resolved
Established,Male,Savings,Comfortable,Everyday,Deposit,Small,Auto,Rejected,Low,AMEX,Over-Limit,Suggestion,Pending
Established,Male,Current,Mass-Market,Very Large,Withdrawal,Small,Mortgage,Closed,High,Visa,Low,Complaint,Resolved
Senior,Male,Current,Mass-Market,Large,Withdrawal,Small,Auto,Rejected,Low,Visa,High,Complaint,Pending
Established,Other,Savings,Comfortable,Large,Transfer,Medium,Auto,Closed,Low,AMEX,Low,Suggestion,Resolved
Pre-Retirement,Other,Current,Mass-Market,Very Large,Withdrawal,Very Large,Personal,Approved,Moderate,AMEX,High,Complaint,Pending
Early Career,Male,Savings,Comfortable,Everyday,Deposit,Medium,Auto,Closed,Moderate,Visa,Moderate,Suggestion,Pending
Established,Male,Savings,Below-Minimum,Everyday,Transfer,Large,Mortgage,Closed,Moderate,Visa,Low,Complaint,Resolved
Established,Female,Current,Mass-Market,Large,Transfer,Medium,Personal,Approved,High,AMEX,Low,Praise,Pending
Early Career,Male,Current,Below-Minimum,Very Large,Deposit,Very Large,Personal,Closed,Low,MasterCard,Moderate,Complaint,Pending
Early Career,Male,Savings,Comfortable,Large,Deposit,Large,Personal,Rejected,Moderate,AMEX,Moderate,Suggestion,Pending
Young Adult,Other,Current,Mass-Market,Large,Transfer,Small,Mortgage,Closed,Moderate,AMEX,Moderate,Complaint,Resolved
Senior,Other,Savings,Comfortable,Large,Withdrawal,Large,Auto,Rejected,High,AMEX,High,Praise,Pending
Early Career,Other,Current,Comfortable,Everyday,Transfer,Medium,Auto,Approved,Low,AMEX,Moderate,Complaint,Resolved
Established,Female,Current,Mass-Market,Large,Transfer,Medium,Mortgage,Rejected,Low,AMEX,High,Complaint,Resolved
Early Career,Male,Savings,Comfortable,Very Large,Deposit,Large,Mortgage,Closed,High,Visa,Over-Limit,Suggestion,Pending
Senior,Other,Savings,Comfortable,Large,Deposit,Medium,Personal,Approved,Moderate,AMEX,Over-Limit,Suggestion,Resolved
Pre-Retirement,Female,Current,Mass-Market,Very Large,Deposit,Medium,Mortgage,Approved,High,Visa,Moderate,Complaint,Pending
Established,Male,Savings,Comfortable,Everyday,Transfer,Large,Auto,Rejected,Moderate,Visa,Moderate,Complaint,Pending
Senior,Male,Current,Below-Minimum,Large,Transfer,Medium,Mortgage,Rejected,Moderate,AMEX,Over-Limit,Praise,Pending
Established,Female,Current,Comfortable,Very Large,Deposit,Medium,Auto,Rejected,High,AMEX,Over-Limit,Praise,Resolved
Young Adult,Male,Savings,Comfortable,Large,Transfer,Large,Mortgage,Approved,High,AMEX,Low,Praise,Pending
Pre-Retirement,Female,Savings,Comfortable,Large,Deposit,Small,Auto,Rejected,Low,MasterCard,Over-Limit,Praise,Resolved
Pre-Retirement,Female,Savings,Below-Minimum,Everyday,Transfer,Very Large,Mortgage,Closed,Low,MasterCard,Moderate,Praise,Pending
Young Adult,Other,Current,Below-Minimum,Very Large,Withdrawal,Large,Mortgage,Approved,Moderate,Visa,Moderate,Suggestion,Pending
Pre-Retirement,Female,Current,Comfortable,Everyday,Deposit,Small,Personal,Closed,Low,AMEX,Moderate,Complaint,Resolved
Established,Other,Savings,Comfortable,Very Large,Withdrawal,Medium,Personal,Rejected,High,Visa,High,Complaint,Pending
Established,Male,Savings,Comfortable,Large,Deposit,Very Large,Mortgage,Rejected,High,AMEX,Moderate,Praise,Pending
Young Adult,Other,Current,Comfortable,Very Large,Deposit,Large,Auto,Rejected,High,AMEX,High,Complaint,Pending
Senior,Female,Current,Comfortable,Everyday,Transfer,Medium,Auto,Rejected,Low,AMEX,Low,Praise,Pending
Established,Other,Savings,Comfortable,Large,Deposit,Medium,Mortgage,Approved,High,Visa,High,Complaint,Resolved
Pre-Retirement,Male,Savings,Comfortable,Very Large,Withdrawal,Large,Personal,Closed,Moderate,MasterCard,Over-Limit,Praise,Resolved
Pre-Retirement,Other,Current,Below-Minimum,Large,Withdrawal,Medium,Auto,Rejected,Low,Visa,Low,Suggestion,Pending
Early Career,Male,Current,Comfortable,Large,Transfer,Very Large,Personal,Rejected,Moderate,Visa,Moderate,Complaint,Pending
Pre-Retirement,Female,Savings,Comfortable,Large,Deposit,Large,Personal,Approved,High,MasterCard,Moderate,Praise,Pending
Established,Other,Current,Comfortable,Everyday,Deposit,Very Large,Personal,Rejected,Low,AMEX,High,Praise,Resolved
Early Career,Male,Current,Comfortable,Large,Transfer,Medium,Mortgage,Approved,Moderate,Visa,Moderate,Complaint,Resolved
Established,Male,Current,Mass-Market,Large,Deposit,Small,Auto,Closed,Low,AMEX,Low,Complaint,Resolved
Senior,Other,Savings,Comfortable,Large,Deposit,Very Large,Mortgage,Closed,High,AMEX,High,Suggestion,Pending
Senior,Other,Current,Comfortable,Very Large,Withdrawal,Large,Personal,Approved,Low,MasterCard,Low,Complaint,Resolved
Senior,Other,Savings,Mass-Market,Large,Withdrawal,Small,Auto,Closed,Moderate,Visa,Moderate,Praise,Pending
Pre-Retirement,Other,Current,Comfortable,Very Large,Withdrawal,Medium,Auto,Rejected,Moderate,MasterCard,Moderate,Complaint,Pending
Early Career,Other,Current,Comfortable,Everyday,Withdrawal,Large,Mortgage,Closed,Moderate,Visa,Over-Limit,Suggestion,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Everyday,Deposit,Very Large,Auto,Approved,Low,MasterCard,Moderate,Complaint,Pending
Early Career,Female,Savings,Comfortable,Large,Deposit,Large,Auto,Closed,Moderate,AMEX,Low,Complaint,Pending
Pre-Retirement,Male,Current,Comfortable,Very Large,Withdrawal,Very Large,Mortgage,Closed,Moderate,MasterCard,Low,Complaint,Resolved
Early Career,Other,Savings,Mass-Market,Large,Deposit,Medium,Personal,Closed,Moderate,AMEX,High,Complaint,Resolved
Established,Other,Savings,Comfortable,Everyday,Transfer,Small,Personal,Approved,Moderate,Visa,Over-Limit,Suggestion,Pending
Young Adult,Female,Savings,Below-Minimum,Large,Transfer,Small,Auto,Closed,Low,Visa,Over-Limit,Complaint,Pending
Pre-Retirement,Other,Current,Mass-Market,Large,Deposit,Very Large,Personal,Closed,Moderate,MasterCard,Moderate,Complaint,Pending
Senior,Female,Savings,Below-Minimum,Very Large,Deposit,Very Large,Personal,Rejected,High,MasterCard,High,Complaint,Resolved
Established,Other,Current,Mass-Market,Everyday,Withdrawal,Medium,Mortgage,Closed,Moderate,AMEX,Moderate,Praise,Pending
Early Career,Male,Savings,Comfortable,Very Large,Withdrawal,Small,Personal,Rejected,Moderate,Visa,Over-Limit,Praise,Resolved
Young Adult,Female,Savings,Comfortable,Very Large,Transfer,Very Large,Mortgage,Closed,Low,AMEX,Moderate,Praise,Pending
Young Adult,Male,Current,Comfortable,Very Large,Deposit,Medium,Mortgage,Closed,Moderate,MasterCard,Low,Complaint,Pending
Pre-Retirement,Other,Current,Below-Minimum,Large,Deposit,Medium,Personal,Approved,Low,MasterCard,Low,Praise,Pending
Pre-Retirement,Male,Savings,Comfortable,Large,Withdrawal,Very Large,Mortgage,Rejected,Moderate,MasterCard,Low,Suggestion,Pending
Established,Male,Current,Mass-Market,Very Large,Deposit,Very Large,Auto,Rejected,Low,MasterCard,Over-Limit,Praise,Resolved
Established,Male,Current,Comfortable,Large,Withdrawal,Large,Mortgage,Closed,Low,Visa,Low,Complaint,Pending
Established,Female,Savings,Mass-Market,Very Large,Withdrawal,Medium,Mortgage,Rejected,Low,AMEX,Moderate,Suggestion,Pending
Established,Female,Savings,Mass-Market,Everyday,Deposit,Very Large,Mortgage,Approved,Moderate,Visa,Low,Complaint,Resolved
Pre-Retirement,Female,Current,Comfortable,Large,Withdrawal,Large,Personal,Closed,High,Visa,High,Complaint,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Very Large,Transfer,Medium,Mortgage,Closed,Moderate,Visa,Low,Praise,Resolved
Pre-Retirement,Male,Current,Comfortable,Large,Withdrawal,Large,Auto,Rejected,High,MasterCard,Moderate,Complaint,Resolved
Pre-Retirement,Other,Current,Mass-Market,Large,Transfer,Very Large,Personal,Closed,Low,MasterCard,Low,Suggestion,Resolved
Young Adult,Female,Current,Below-Minimum,Large,Deposit,Medium,Personal,Approved,Low,AMEX,Low,Suggestion,Pending
Pre-Retirement,Other,Savings,Mass-Market,Very Large,Deposit,Large,Personal,Closed,Moderate,Visa,Moderate,Complaint,Resolved
Pre-Retirement,Male,Current,Comfortable,Large,Deposit,Large,Auto,Closed,High,MasterCard,Moderate,Suggestion,Resolved
Pre-Retirement,Female,Savings,Comfortable,Very Large,Deposit,Very Large,Mortgage,Rejected,Moderate,Visa,Low,Suggestion,Pending
Early Career,Other,Current,Mass-Market,Very Large,Deposit,Large,Mortgage,Closed,Moderate,Visa,Moderate,Suggestion,Resolved
Established,Male,Current,Comfortable,Everyday,Withdrawal,Very Large,Auto,Closed,Low,Visa,Low,Praise,Resolved
Young Adult,Male,Current,Comfortable,Large,Deposit,Large,Auto,Closed,High,MasterCard,Moderate,Complaint,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Large,Deposit,Large,Personal,Rejected,High,Visa,Over-Limit,Praise,Resolved
Established,Female,Savings,Mass-Market,Everyday,Deposit,Medium,Auto,Approved,Moderate,AMEX,Low,Praise,Resolved
Pre-Retirement,Female,Current,Comfortable,Everyday,Transfer,Very Large,Mortgage,Rejected,Low,MasterCard,Moderate,Praise,Pending
Young Adult,Other,Current,Comfortable,Everyday,Withdrawal,Large,Personal,Approved,Low,AMEX,Moderate,Complaint,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Very Large,Deposit,Very Large,Auto,Closed,High,MasterCard,High,Complaint,Resolved
Early Career,Female,Current,Comfortable,Very Large,Deposit,Very Large,Personal,Rejected,Moderate,Visa,Low,Complaint,Pending
Pre-Retirement,Female,Savings,Comfortable,Large,Withdrawal,Medium,Auto,Approved,Moderate,Visa,Low,Praise,Pending
Pre-Retirement,Male,Current,Below-Minimum,Large,Transfer,Large,Mortgage,Rejected,Moderate,Visa,Moderate,Suggestion,Resolved
